hex_id,F1,F2,F3,F4,F5,class_km
88099a2457fffff,1.9740937608863547,1.1333647927036612,-0.6218093867954212,0.8044548976463326,0.6113273871355824,3
88099a2481fffff,0.10270177001443193,4.045951229147821,-0.4825669252619755,-0.6523672673453003,1.7906804063141724,4
88099a2483fffff,-0.9714648745965855,3.7826844532194706,0.268961471935218,-0.6590127689262282,1.9307220194033585,4
88099a2485fffff,1.9667509477602105,3.4988088496326997,-0.011684892374127509,-2.4432481843326874,3.909335989852198,4
88099a2487fffff,0.5209472246604872,3.6459778795038837,-0.01499714291709782,-0.9048346235597655,1.9106072868902975,4
88099a2489fffff,1.5852299036320927,2.1142832706068933,-1.2260110551010575,-0.5658622056607261,1.9005443496692553,4
88099a248bfffff,0.431347916079164,3.0961378712197636,-0.6093095101752766,-1.0376207793555394,1.918900788951902,4
88099a248dfffff,3.1083946419919553,1.9217102909508303,-0.9193597303155709,-1.6368196823686532,2.492018602294753,3
88099a2491fffff,-1.6072649147724283,3.8647661621067435,0.6519762511755097,-0.4976178246896414,1.3618926494315136,4
88099a2493fffff,-1.9266237441708536,3.823509612498068,0.96857679325335,-0.5281973422848752,1.1629839873213128,4
88099a2495fffff,-1.7668754345101727,3.446306906388876,1.2982821339879447,-0.4537495975416553,1.949464319331407,4
88099a2497fffff,-1.5679071220814,3.5298931890409984,0.9241601362213931,-0.21610158071625488,1.1503104065623777,4
88099a2499fffff,-0.517422546458844,3.0041328210004177,0.02685653752300366,-0.609388215293678,1.101524367015874,4
88099a249bfffff,-0.9164488154971846,3.5633871994681234,0.2506700299192478,-0.3433613411570945,0.6135975505837383,4
88099a249dfffff,-0.8291622739200721,4.121027318669465,0.45932020009624774,-1.1864746734627876,1.3414127881088103,4
88099a24a7fffff,-0.568642882650573,3.323180512178869,-1.2520259251478643,0.4380653513800978,2.0179063937728703,4
88099a24a9fffff,2.359305451517543,2.5707769070097366,1.0918760000350787,-2.8693626136489714,3.2917653797123,4
88099a24abfffff,0.7863469715198197,3.8197486241595673,-0.4128150660600748,-1.2924033168682485,2.1779686498790873,4
88099a24adfffff,2.0553868983248993,2.045348729080115,1.1418230562971168,-1.517104517429312,3.06227580070626,4
88099a24b1fffff,-1.0848626263248298,2.5838852605343625,1.1925037197250552,-0.30445423213448763,1.5220028973355608,4
88099a24b3fffff,-1.5034779403018566,3.3276431877617134,1.3259629622693572,-0.05855578692009278,1.2819429387079666,4
